,שלב,המקרה,לקוח (User View),מערכת (Backend Logic),פתרון / מקרי קצה,הגדרת Done
,4,הצטרפות חבר (אימות),רואה שהמחיר ירד מיד לאחר שחבר נרשם דרכו.,שיוך החבר החדש למכרז ועדכון המונה רק לאחר אישור אשראי (Pre-Auth).,"חבר שלא שילם: המחיר לא משתנה עד שהאשראי של החבר מאושר, כדי למנוע מניפולציות.",המונה עלה והמחיר התעדכן לכל חברי המכרז.
,5,סגירת מכרז (Final Price),"מקבל פוש סופי: ""המכרז נסגר! המחיר הסופי נקבע על X. תתחדש!"".","נעילת המכרז, קיבוע המחיר הסופי וביצוע חיוב (Capture) בפועל.","חישוב סופי: המערכת מוודאת שהחיוב הוא על הסכום הכי נמוך שהושג, ולא על מחיר הגג שנתפס.","הסטטוס עבר ל""ממתין לאספקה"" והופקה חשבונית על הסכום המופחת."
,6,ביטול מצד ספק,מקבל הודעה שהספק לא יכול לספק את הסחורה (מקרה קיצון).,שחרור אוטומטי ומיידי של כל תפיסות מסגרת האשראי של כל המשתתפים.,פיצוי: שליחת התנצלות והצעה למכרז דומה או הטבה ברכישה הבאה.,מסגרות האשראי שוחררו והלקוח קיבל עדכון.
,,,,,,
"אספקה, אישור ושחרור התשלום",1,דיווח מסירה (ספק),"השליח מעדכן ""נמסר"" באפליקציית הספק.","שינוי סטטוס ל""נמסר"" והפעלת טיימר של 24 שעות.",אישור אוטומטי: אם הלקוח לא מדווח על תקלה תוך 24 שעות - הכסף עובר לספק אוטומטית.,המערכת החלה את הספירה לאחור לשחרור הכסף.
,2,תזכורת ווטסאפ (Push),"מקבל הודעת WhatsApp: ""ההזמנה הגיעה! לחץ כאן לאישור וצפייה בחיסכון שלך"".",שליחת הודעה אוטומטית דרך API של WhatsApp ברגע דיווח המסירה.,הנעה לפעולה: הלינק מוביל ישירות למסך האישור באפליקציה כדי לקצר תהליכים.,הודעת הווטסאפ נשלחה בהצלחה ללקוח.
,3,אישור וסיכום חיסכון,"מאשר קבלה ורואה באפליקציה: ""חסכת [X] ש""ח במכרז הזה!"".",חישוב: (מחיר מקסימום - מחיר סופי) פחות העמלה שנגבתה לטובת המיזם.,שקיפות: הצגת החיסכון הנטו שנשאר אצל הלקוח בכיס לאחר כל העלויות.,הלקוח אישר את הקבלה והחיסכון תועד בפרופיל שלו.
,4,דיווח על תקלה,"לוחץ על ""יש בעיה"" ומפרט את התקלה (מוצר פגום/חסר).",הקפאת (Freeze) העברת הכסף והתראה מיידית לספק.,דד-ליין לספק: הספק חייב להגיב בתוך 24 שעות. אם לא הגיב - המערכת רשאית לזכות את הלקוח אוטומטית.,הכסף נעול בנאמנות ונפתח כרטיס בוררות.
,5,תגובת ספק לתקלה,הספק מציע פתרון (החלפה/זיכוי/תיקון) בתוך 24 שעות.,עדכון הלקוח בפתרון המוצע וקבלת אישורו.,"ספק לא ענה: המנהל (אתה) מקבל התראה ""ספק חרג מזמן תגובה"" כדי להכריע ידנית לטובת הלקוח.",התקבל מענה מהספק בתוך מסגרת הזמן המוגדרת.
,6,שחרור תשלום סופי,"עברו 24 שעות ללא תקלה, או שהלקוח אישר ידנית.",העברת הכסף (פחות העמלה שלך) לחשבון הספק.,חיוב עמלה: העמלה שלך מופרשת אוטומטית לחשבון המיזם בנפרד מהתשלום לספק.,הכסף הופקד בחשבון הספק והעסקה נסגרה.
